name,contact_information,location,type,outreach_type,responsible,current_status,first_outreach,follow_up,meeting,type_of_donation,recived,note,email_types,language,email_sample,is_contacted,has_contact_info,is_english,is_ideal_candidate,cluster
Diehl Aerospace ,marketing@diehl‑aerospace.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,22.07.2025,,Financial,No,"Already decided on their funded projects, but in talks about 2026",,,,True,True,False,False,2
DJI Deutschland ,pr@dji.com,germany,for profit,type 5: materielle spende,Niclas K.,first outreach,2025-07-22,,,,,,,,,True,True,False,False,2
DZ Bank Gruppe,mail@dzbank.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Earth Rising Foundation,info@earthrisingfoundation.org,germany,small grants,type 7: grant,Niclas K.,,,,,Financial,,Starting October 1. Applications ,,,,False,True,False,False,2
Earth Shot Prize ,nominations@tep.earthshotprize.org,germany,small grants,type 7: grant,TBD PA,,,,,Financial,,Apply for nomination next year. 2026 (1mil price money),,,,False,True,False,False,2
EBZ Gruppe,thomas.bausch@ebz-group.com (CEO),germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Ecover,hello@uk.ecover.com,great britain,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,1
EIB,Infodesk@eib.org ,luxembourg,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,1
EMB-Papst,info1@de.ebmpapst.com,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Ethik Bank,hallo@ethikbank.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
European Climate Foundation,Not possible / partners have to be contacted,,non profit,type 7: grant,,,,,,,,,,,,False,True,False,False,2
Express VPN,        support@expressvpn.com,british virgin islands,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Fjord Yachts ,guido@fjordyachts.de & oliver@fjordyachts.de (CEO),germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Flix SE (Flixbus/Flixtrain),globalpress@flixbus.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Fondation Ensemble,Webform,france,non profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Frosch GmbH (Werner & Mertz),markefrosch@werner-mertz.com ,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Git Hub Pro for NGOs,Webform https://socialimpact.github.com,usa,small grants,type 2: material donation,Niclas K.,first outreach,2025-07-22,,,,,,,,,True,True,False,False,2
Global Greengrants Fund,Contact form on website,great britain,small grants,type 7: grant,Niclas K.,response,2025-07-12,"Yes, but not possible",,Financial,No,Recomended other funding possibilities: http://url6352.greengrants.org/ls/click?upn=u001.fMxWc8SgCaBCB6sLRY7yzNrKz0HgRiGGWbz8GWL3Q5-2FFJlKClsnyGT7uqdzrV3ctzfj1e4tly1hK-2FAjlCLdG5BfTiwLjylvbDkxVlUKxJ22lVTn7VqH8BdFZPdSC4RDGEGCb_9L0ArMfC9BNsxMvRipvtYWpMJFYQJofZuibEKhGHfuUCpVzbcblZ0D9AJXE19HuYomKpmAeckTdgAjdOV0vd1KYi390s8OKTeZK4URB6nxA533zSc2G-2FP-2BeWFmQaM3-2BYRganxYBUWH2Auz-2FlaPEhK9RKorfWR1IuaVHqMHLuoTGBa5jOQwXLI3xDsa0M0l-2FWh-2BF6bRvyPEomx5zlNzKeDw-3D-3D,,,,False,True,False,False,2
Go Pro,support@gopro.com,usa,for profit,type 2: material donation,,,,,,,,,,,,False,True,False,False,2
Google,press@google.com,usa,for profit,type 3: financial donation,Niclas K.,first outreach,2025-07-22,,,,,,,,,True,True,False,False,1
Google Ad Grants,Registration,usa,small grants,type 7: grant,Niclas K.,first outreach,2025-07-22,,,,,,,,,True,True,False,False,2
Green line Yachts,info@svpyachts.com,slovenia,for profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Greenpeace Hamburg, foerdernde@greenpeace.de,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
H&M,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Hallberg Rassy,info@hr-parts.com/Webform,sweden,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False,2
Hanse Boot / Interboot,not availible,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Hanse Merkur Yachtversicherung,info@hansemerkur.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,,,,,,,,,,True,True,False,False,2
Hanse Yachts,sales@hanseyachts.de,germany,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False,2
Heineken,pressoffice@heineken.com,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Helly Hansen,Web Form,norway,for profit,type 2: material donation,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False,2
Hempel Foundation,hempel.foundation@hempel.com,denmark,non profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
HGH Innovation GmbH, info@hgh-innovation.com,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Hochland SE,mail@hochland‑professional.com,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Holy Drink,info@holy.de,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Hotel Traube Tonbach,juliadeleye@traube-tonbach.de,germany,for profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
IKEA Foundation,info@ikeafoundation.org,netherlands,non profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Insta 360,marketing@insta360.com,china,for profit,type 2: material donation,,,,,,,,,,,,False,True,False,False,2
Isaiah Gazar ,hello@isaiahgarza.com,usa,private person,,,,,,,,,,,,,False,True,False,False,2
Jenneau Yachts,communication@jeanneau.fr ,france,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False,2
Joana Breidenbach,Linked In. Philantrop,grermany,private person,type 8: donation private,,,,,,,,,,,,False,True,False,False,2
Jochen Wermuth,"Web Form, Wermuth Asset Management",germany,private person,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Johan Eliasch,Linked In,sweden,private person,type 8: donation private,,,,,,,,,,,,False,True,False,False,2
Kaiser Werft / Boote Pfister,,germany,for profit,,,,,,,,,,,,,False,False,False,False,0
Klaus Tschira Stiftung,kontakt@klaus-tschira-stiftung.de,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Köhle & Partner Yachtfinanzierung,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Krommbacher,service@krombacher.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-22,,,,,,,,,True,True,False,False,2
Lang GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
LBBE,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Leibinger ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Lemonaid/ChariTea,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Leonardo DiCaprio Foundation,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Lidl Stiftung,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Liebherr International Deutschland,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Lieblingsagentur GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Lighthouse Foundation,info@lighthouse-foundation.org,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Lorch Gruppe,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Louis Vuitton,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Lush Charity Pot,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Mainau GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Marinepool,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Marisa Drew,Linked In (CSO Credit Suisse),switzerland,private person,type 8: donation private,,,,,,,,,,,,False,True,False,False,2
Mediamarkt,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Meister Werke GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Mercedes ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Michael Bloomberg,Contact Form,usa,private person,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Michael Otto Stiftung,info@michaelottostiftung.de,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Microsoft,Webform,usa,for profit,type 2: material donation,Niclas K.,first outreach,2025-07-13,Not needed,Not needed,Material/Financial,,"Registration completed, follow ups in meeting",,,,True,True,False,False,2
Moody Yachts,,usa,for profit,,,,,,,,,,,,,False,False,False,False,0
"Mr, Thank You",Management@itsmrthankyou.com,usa,private person,,Niclas K.,,,,,,,,,,,False,True,False,False,2
National Geographic Society ,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Nicolas Berggruen,nicolas@berggruen.org,germany/france,private person,type 8: donation private,,,,,,,,,,,,False,True,False,False,2
Nicolas Hazard,"Linked In. Social Founder, foundation head",france,private person,type 8: donation private,,,,,,,,,,,,False,True,False,False,2
Nike ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Nord VPN,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Nordship Yachts,info@nordship.dk,denmark,for profit,,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False,2
North sails,webcustomercare@northsails.com,,for profit,,,,2025-07-11,,,,,,,,,False,True,False,False,0
NVIDIA,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Ocean Concervancy,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Ocean Innovation Hub,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Omira GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Osculati,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Patagonia Action Works,,,small grants,,,,,,,,,,,,,False,False,False,False,0
Patek Phillipe,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Patenius Yachtversicherung,,,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-23,,,,,,,,,True,False,False,False,2
Phillips,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Plastimo (M),,,for profit,,,,,,,,,,,,,False,False,False,False,0
Porsche,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Rafi GmbH & Co. KG,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Raymarine,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Razer Inc. ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Red Bull,Herr Widmann,austria,for profit,type 6: finanzielle spende,Niclas K.,contact established,,,14.07.24,Financial,Yes,"Donation from assistant of Red Bull Owner, private talk with him about Second Life will be in 2-3 weeks.",,,,False,True,False,False,2
REWE Group,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Rewe Region Süd West (rv lokal),,,for profit,,,,,,,,,,,,,False,False,False,False,0
Rheinmetall,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Rolex,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Rossmann,Herr Widmann,germany,for profit,,Niclas K.,,,,,,,Personal Cotact,,,,False,True,False,False,2
Saily VPN,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Samsung Deutschland ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
SAP/Daniel Schmid,Linked In Daniel Schmid,,private person,,,,,,,,,,,,,False,True,False,False,0
Schöffel ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Schöpfling Stiftung,kontakt@schoepflin-stiftung.de,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Sebastian Stricker,Linked In. Philantrop,gemany,private person,type 8: donation private,,,,,,,,,,,,False,True,False,False,2
Simon Squibb,partnerships@simonsquibb.com,great britain,private person,,,,,,,,,,,,,False,True,False,False,2
Slack for NGOs,https://slack.com/intl/en-de/help/articles/204368833-Nonprofit-discounts,,small grants,,,,,,,,,,,,,False,True,False,False,0
Sonnentor Deutschland GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Sony Plastation,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Sparkasse,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Sparkasse Bodensee,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Stiftung für Ehrenamt & Engagement ,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Stiftung Liebenau,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Stiftung Naturschutz Berlin,förderung@stiftung-naturschutz.de,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Superyacht Charities,,usa,non profit,type 2: material donation,TBD PA,,,,,,,,,,,False,False,False,False,0
Surf shark VPN,,,for profit,,,,,,,,,,,,,False,False,False,False,0
SV Sparkassenversicherung,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Swisscom AG,,,for profit,,,,,,,,,,,,,False,False,False,False,0
synaix GmbH,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Tableau,Data Visualization https://www.tableau.com/community/nonprofits,,for profit,,,,,,,,,,,,,False,True,False,False,0
Tag Heur,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Tchibo ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
TechSoup,https://www.stifter-helfen.de needs to be registered for tech ,,non profit,,,,,,,,,,,,,False,True,False,False,0
The Awsome Foundation,,,non profit,,,,,,,,,,,,,False,False,False,False,0
The Honnold Foundation,,,non profit,,,,,,,,,,,,,False,False,False,False,0
The International SeaKeepers Scociety,,usa,non profit,type 2: material donation,TBD PA,,,,,,,,,,,False,False,False,False,0
The Pollination Project,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Thomson Foundation,hello@thomsonfoundation.org,great britain,non profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Tipico,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Tourismus Marketing GmbH BW,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Ultramarin - Meichle & Mohr Marina,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Unity Technologies,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Veja (shoes),,,for profit,,,,,,,,,,,,,False,False,False,False,0
Velux Foundations,Webform,denmark,non profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Victory Energy (M),,,for profit,,,,,,,,,,,,,False,False,False,False,0
Volksbank Friedrichshafen-Tettnang,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Volksbank Ulm/Biberach Oberdchwaben,,,for profit,,,,,,,,,,,,,False,False,False,False,0
VW,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Wilde Möhre Stiftung,,,non profit,,,,,,,,,,,,,False,False,False,False,0
Würth Elektronik,,,for profit,,,,,,,,,,,,,False,False,False,False,0
X-Yachts,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Y-Food,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Yacht all,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Yacht Zentrum Radolfzell ,,,for profit,,,,,,,,,,,,,False,False,False,False,0
YachtAID Global,,usa,non profit,type 2: material donation,TBD PA,,,,,,,,,,,False,False,False,False,0
YACHTPOOL,,,for profit,,,,,,,,,,,,,False,False,False,False,0
ZF Friedrichshafen AG,,,for profit,,,,,,,,,,,,,False,False,False,False,0
Zhik / Musto / Gill,,,for profit,,,,,,,,,,,,,False,False,False,False,0
ZukunftsMUT (DKJS),,,for profit,,,,,,,,,,,,,False,False,False,False,0
