name,contact_information,location,type,outreach_type,responsible,current_status,first_outreach,follow_up,meeting,type_of_donation,recived,note,nan,nan,email_types,language,email_sample,is_contacted,has_contact_info,is_english,is_ideal_candidate
Greenpeace Hamburg, foerdernde@greenpeace.de,Germany,Non profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
H&M,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Hallberg Rassy,info@hr-parts.com/Webform,Sweden,for profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,,,True,True,False,False
Hanse Boot / Interboot,not availible,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Hanse Merkur Yachtversicherung,info@hansemerkur.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,,,,,,,,,,,,True,True,False,False
Hanse Yachts,sales@hanseyachts.de,Germany,for profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,,,True,True,False,False
Heineken,pressoffice@heineken.com,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Helly Hansen,Web Form,Norway,for profit,Type 2: material donation,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,,,True,True,False,False
Hempel Foundation,hempel.foundation@hempel.com,Denmark,Non profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
HGH Innovation GmbH, info@hgh-innovation.com,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Hochland SE,mail@hochland‑professional.com,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Holy Drink,info@holy.de,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Hotel Traube Tonbach,juliadeleye@traube-tonbach.de,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
IKEA Foundation,info@ikeafoundation.org,Netherlands,Non profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Insta 360,marketing@insta360.com,China,for profit,Type 2: material donation,,,,,,,,,,,,,,False,True,False,False
Isaiah Gazar ,hello@isaiahgarza.com,USA,private person,,,,,,,,,,,,,,,False,True,False,False
Jenneau Yachts,communication@jeanneau.fr ,France,for profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,,,True,True,False,False
Joana Breidenbach,Linked In. Philantrop,Grermany,private person,Type 8: Donation Private,,,,,,,,,,,,,,False,True,False,False
Jochen Wermuth,"Web Form, Wermuth Asset Management",Germany,private person,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Johan Eliasch,Linked In,Sweden,private person,Type 8: Donation Private,,,,,,,,,,,,,,False,True,False,False
Kaiser Werft / Boote Pfister,,Germany,for profit,,,,,,,,,,,,,,,False,False,False,False
Klaus Tschira Stiftung,kontakt@klaus-tschira-stiftung.de,Germany,Non profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Köhle & Partner Yachtfinanzierung,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Krommbacher,service@krombacher.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-22,,,,,,,,,,,True,True,False,False
Lang GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
LBBE,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Leibinger ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Lemonaid/ChariTea,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Leonardo DiCaprio Foundation,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Lidl Stiftung,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Liebherr International Deutschland,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Lieblingsagentur GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Lighthouse Foundation,info@lighthouse-foundation.org,Germany,Non profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Lorch Gruppe,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Louis Vuitton,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Lush Charity Pot,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Mainau GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Marinepool,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Marisa Drew,Linked In (CSO Credit Suisse),Switzerland,private person,Type 8: Donation Private,,,,,,,,,,,,,,False,True,False,False
Mediamarkt,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Meister Werke GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Mercedes ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Michael Bloomberg,Contact Form,Usa,private person,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Michael Otto Stiftung,info@michaelottostiftung.de,Germany,Non profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Microsoft,Webform,USA,for profit,Type 2: material donation,Niclas K.,first outreach,2025-07-13,Not needed,Not needed,Material/Financial,,"Registration completed, follow ups in meeting",,,,,,True,True,False,False
Moody Yachts,,USA,for profit,,,,,,,,,,,,,,,False,False,False,False
"Mr, Thank You",Management@itsmrthankyou.com,USA,private person,,Niclas K.,,,,,,,,,,,,,False,True,False,False
National Geographic Society ,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Nicolas Berggruen,nicolas@berggruen.org,Germany/France,private person,Type 8: Donation Private,,,,,,,,,,,,,,False,True,False,False
Nicolas Hazard,"Linked In. Social Founder, foundation head",France,private person,Type 8: Donation Private,,,,,,,,,,,,,,False,True,False,False
Nike ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Nord VPN,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Nordship Yachts,info@nordship.dk,Denmark,for profit,,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,,,True,True,False,False
North sails,webcustomercare@northsails.com,,for profit,,,,2025-07-11,,,,,,,,,,,False,True,False,False
NVIDIA,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Ocean Concervancy,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Ocean Innovation Hub,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Omira GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Osculati,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Patagonia Action Works,,,small grants,,,,,,,,,,,,,,,False,False,False,False
Patek Phillipe,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Patenius Yachtversicherung,,,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,False,False,False
Phillips,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Plastimo (M),,,for profit,,,,,,,,,,,,,,,False,False,False,False
Porsche,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Rafi GmbH & Co. KG,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Raymarine,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Razer Inc. ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Red Bull,Herr Widmann,Austria,for profit,Type 6: Finanzielle Spende ,Niclas K.,contact established,,,14.07.24,Financial,Yes,"Donation from assistant of Red Bull Owner, private talk with him about Second Life will be in 2-3 weeks.",,,,,,False,True,False,False
REWE Group,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Rewe Region Süd West (rv lokal),,,for profit,,,,,,,,,,,,,,,False,False,False,False
Rheinmetall,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Rolex,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Rossmann,Herr Widmann,Germany,for profit,,Niclas K.,,,,,,,Personal Cotact,,,,,,False,True,False,False
Saily VPN,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Samsung Deutschland ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
SAP/Daniel Schmid,Linked In Daniel Schmid,,private person,,,,,,,,,,,,,,,False,True,False,False
Schöffel ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Schöpfling Stiftung,kontakt@schoepflin-stiftung.de,Germany,Non profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Sebastian Stricker,Linked In. Philantrop,Gemany,private person,Type 8: Donation Private,,,,,,,,,,,,,,False,True,False,False
Simon Squibb,partnerships@simonsquibb.com,Great Britain,private person,,,,,,,,,,,,,,,False,True,False,False
Slack for NGOs,https://slack.com/intl/en-de/help/articles/204368833-Nonprofit-discounts,,small grants,,,,,,,,,,,,,,,False,True,False,False
Sonnentor Deutschland GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Sony Plastation,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Sparkasse,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Sparkasse Bodensee,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Stiftung für Ehrenamt & Engagement ,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Stiftung Liebenau,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Stiftung Naturschutz Berlin,förderung@stiftung-naturschutz.de,Germany,Non profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Superyacht Charities,,USA,Non profit,Type 2: material donation,TBD PA,,,,,,,,,,,,,False,False,False,False
Surf shark VPN,,,for profit,,,,,,,,,,,,,,,False,False,False,False
SV Sparkassenversicherung,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Swisscom AG,,,for profit,,,,,,,,,,,,,,,False,False,False,False
synaix GmbH,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Tableau,Data Visualization https://www.tableau.com/community/nonprofits,,for profit,,,,,,,,,,,,,,,False,True,False,False
Tag Heur,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Tchibo ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
TechSoup,https://www.stifter-helfen.de needs to be registered for tech ,,Non profit,,,,,,,,,,,,,,,False,True,False,False
The Awsome Foundation,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
The Honnold Foundation,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
The International SeaKeepers Scociety,,USA,Non profit,Type 2: material donation,TBD PA,,,,,,,,,,,,,False,False,False,False
The Pollination Project,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Thomson Foundation,hello@thomsonfoundation.org,Great Britain,Non profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Tipico,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Tourismus Marketing GmbH BW,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Ultramarin - Meichle & Mohr Marina,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Unity Technologies,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Veja (shoes),,,for profit,,,,,,,,,,,,,,,False,False,False,False
Velux Foundations,Webform,Denmark,Non profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Victory Energy (M),,,for profit,,,,,,,,,,,,,,,False,False,False,False
Volksbank Friedrichshafen-Tettnang,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Volksbank Ulm/Biberach Oberdchwaben,,,for profit,,,,,,,,,,,,,,,False,False,False,False
VW,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Wilde Möhre Stiftung,,,Non profit,,,,,,,,,,,,,,,False,False,False,False
Würth Elektronik,,,for profit,,,,,,,,,,,,,,,False,False,False,False
X-Yachts,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Y-Food,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Yacht all,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Yacht Zentrum Radolfzell ,,,for profit,,,,,,,,,,,,,,,False,False,False,False
YachtAID Global,,USA,Non profit,Type 2: material donation,TBD PA,,,,,,,,,,,,,False,False,False,False
YACHTPOOL,,,for profit,,,,,,,,,,,,,,,False,False,False,False
ZF Friedrichshafen AG,,,for profit,,,,,,,,,,,,,,,False,False,False,False
Zhik / Musto / Gill,,,for profit,,,,,,,,,,,,,,,False,False,False,False
ZukunftsMUT (DKJS),,,for profit,,,,,,,,,,,,,,,False,False,False,False
